property_id,name,address,postal_code,lat,lon
HENDENC,Henderson County Detention Facility,375 1ST AVENUE EAST HENDERSONVILLE NC 28792,28792,35.314884,-82.456379
HENDENV,Henderson Detention Center,18 E BASIC ROAD HENDERSON NV 89015,89015,36.033216,-114.974629
HENDRFL,Hendry County Jail,101 SOUTH BRIDGE STREET LABELLE FL 33935,33935,26.760472,-81.436646
HENHOLD,Hendersonville Hold Room,518 6TH AVE W HENDERSONVILLE NC 28792,28792,35.318807,-82.468082
HENRIVA,Henrico County Jail,"4301 E Parham Rd, Henrico, VA 23228 RICHMOND VA 23228",23228,37.63003,-77.514718
HERNAFL,Hernando County Jail,16425 SPRING HILL DRIVE BROOKSVILLE FL 34604,34604,28.483619,-82.451205
HHWHOLD,Ins District Office,595 ALA MOANA BLVD HONOLULU HI 96813,96813,21.299633,-157.863124
HICOJFL,Hillsborough County Jail,1201 NORTH ORIENT ROAD TAMPA FL 33619,33619,27.95822,-82.373091
HIDALNM,Hidalgo County Detention Facility,83 OLD HIGHWAY 70 LORDSBURG NM 88045,88045,32.337628,-108.665511
HIDALTX,Hidalgo County Jail,3100 SOUTH HWY 281 EDINBURG TX 78539,78539,26.416723,-98.127738
HLGHOLD,Harlingen Hold Room,1717 ZOY STREET HARLINGEN TX 78550,78550,26.178023,-97.714124
HOUHOLD,Houston Field Office Hold Room,5520 GREENS RD. HOUSTON TX 77032,77032,29.952045,-95.311156
HOUICDF,Houston Contract Detention Facility,15850 EXPORT PLAZA DRIVE HOUSTON TX 77032,77032,29.950836,-95.312188
HUDSONJ,Hudson County Correctional Center,30-35 HACKENSACK AVE. KEARNY NJ 07032,07032,40.72991,-74.103398
IAHSFTX,George Bush Intercontinental,2800 N. TERMINAL ROAD HOUSTON TX 77032,77032,29.983924,-95.332202
IFIHOLD,Idaho Falls Hold Room,2075 NORTH BOULEVARD IDAHO FALLS ID 83401,83401,43.514758,-112.033754
IMPCOCA,Imperial County Jail,328 APPLESTILL ROAD EL CENTRO CA 92243,92243,32.748772,-115.563059
INPHOLD,Indianapolis Hold Room,"40 S Alabama St, Indianapolis, IN 46204 INDIANAPOLIS IN 46206",46206,39.765936,-86.153584
